시도,구시군,시장명,시장주소,2010_개설주기,2010_등록_인정 여부,2010_영업점포,2010_공동화장실 보유여부,2010_고객 주차장 보유여부
서울,동대문구,전농로터리시장,서울 동대문구 전농동295-52,상설,등록,84,보유,미보유
서울,중랑구,동부(골목)시장,서울 중랑구 상봉2동 130-157,상설,인정,159,미보유,미보유
서울,중랑구,동원골목시장,서울 중랑구 면목13동 130-1,상설,인정,114,미보유,보유
서울,중랑구,동원시장,서울 중랑구 면목동 101-1,상설,등록,15,보유,미보유
서울,중랑구,면목등록시장,서울 중랑구 면목동 650,상설,등록,25,보유,보유
서울,중랑구,면목골목시장,서울 중랑구 면목동 352-1,상설,인정,86,미보유,미보유
서울,중랑구,우림골목시장,서울 중랑구 망우동 463-44,상설,인정,143,보유,보유
서울,중랑구,중랑교종합시장,서울 중랑구 상봉동 192-9,상설,등록,67,보유,미보유
서울,중랑구,사가정시장,서울 중랑구 면목동 472-45,상설,인정,125,미보유,미보유
서울,성북구,석관시장,서울 성북구 석관동 270-1,상설,등록,20,보유,보유
서울,성북구,길음시장,"서울 성북구 길음동 540-2,4,15, 535-8,26",상설,등록,99,보유,보유
서울,성북구,돈암제일시장,서울 성북구 동소문동 5가 59-21 일대,상설,인정,108,미보유,미보유
서울,성북구,석관황금시장,서울 성북구 석관동 279번지 일대,상설,인정,50,미보유,미보유
서울,성북구,장위골목시장,서울 성북구 장위동 68-225 일대,상설,인정,131,미보유,미보유
서울,강북구,(주)강북 종합시장,서울 강북구 수유동 179-5,상설,등록,163,보유,보유
서울,강북구,북부시장(주),서울 강북구 번동 413-3,상설,등록,37,보유,보유
서울,강북구,수유골목시장,"서울 강북구 수유1동 53,54번지 일대",상설,인정,79,미보유,미보유
서울,강북구,수유북부시장,서울 강북구 수유동 405-5,상설,등록,18,보유,보유
서울,강북구,수유시장,서울 강북구 수유동 54-5,상설,등록,107,보유,보유
서울,강북구,수유재래시장,서울 강북구 수유1동 50-77,상설,인정,112,미보유,미보유
서울,강북구,수유중앙시장,서울 강북구 수유동 32-2,상설,등록,28,보유,보유
서울,강북구,숭인시장(대갑산업(주)),서울 강북구 미아동 60-5,상설,등록,80,보유,보유
서울,강북구,우이시장,서울 강북구 수유2동270-18,상설,등록,15,보유,미보유
서울,도봉구,방학동도깨비시장,서울 도봉구 방학2동 632,상설,인정,91,미보유,보유
서울,도봉구,신도봉시장,서울 도봉구 도봉1동 611,상설,등록,19,보유,미보유
서울,도봉구,신창시장,서울 도봉구 창2동 581,상설,인정,76,미보유,미보유
서울,도봉구,창동골목시장,서울 도봉구 창3동 557,상설,인정,61,미보유,미보유
서울,노원구,공릉동도깨비시장,"서울 노원구 공릉1,3동 566-20 일대",상설,인정,119,미보유,미보유
서울,노원구,상계시장,서울 노원구 상계3동 95-3,상설,등록,32,보유,미보유
서울,은평구,갈현시장,서울 은평구 갈현동 424-16,상설,등록,28,보유,미보유
서울,은평구,대림시장,서울 은평구 응암동 754-1,상설,등록,65,보유,미보유
서울,은평구,역촌중앙시장,서울 은평구 갈현동 467-1,상설,등록,56,보유,미보유
서울,은평구,연서시장,서울 은평구 불광3동 310-131,상설,등록,88,보유,미보유
서울,은평구,제일시장,서울 은평구 대조동 14-1,상설,등록,50,보유,미보유
서울,은평구,증산종합시장,서울 은평구 증산동184-9,상설,등록,127,보유,미보유
서울,서대문구,모래내시장,서울 서대문구 남가좌동 290-2,상설,등록,50,보유,미보유
서울,서대문구,백련상가,서울 서대문구 남가좌동 345-4,상설,등록,21,보유,보유
